ImageName		GroundTruth		OriginalOutput		AdversarialOutput
10550.jpg	0.0			-2.288818359375e-05			-2.288818359375e-05
10551.jpg	0.045727626402251434			-2.288818359375e-05			-2.288818359375e-05
10552.jpg	0.0439822971502571			-2.288818359375e-05			-2.288818359375e-05
10553.jpg	0.040491638646268445			-2.288818359375e-05			-2.288818359375e-05
10554.jpg	0.03700098014227979			-2.288818359375e-05			-2.288818359375e-05
10555.jpg	0.035255650890285456			-2.288818359375e-05			-2.288818359375e-05
10556.jpg	0.035255650890285456			-2.288818359375e-05			-2.288818359375e-05
10557.jpg	0.03700098014227979			-2.288818359375e-05			-2.288818359375e-05
10558.jpg	0.03874630939427412			-2.288818359375e-05			-2.288818359375e-05
10559.jpg	0.03874630939427412			-2.288818359375e-05			-2.288818359375e-05
10560.jpg	0.040491638646268445			-2.288818359375e-05			-2.288818359375e-05
10561.jpg	0.040491638646268445			-2.288818359375e-05			-2.288818359375e-05
10562.jpg	0.040491638646268445			-2.288818359375e-05			-2.288818359375e-05
10563.jpg	0.040491638646268445			-2.288818359375e-05			-2.288818359375e-05
10564.jpg	0.03700098014227979			-2.288818359375e-05			-2.288818359375e-05
10565.jpg	0.033510321638291124			-2.288818359375e-05			-2.288818359375e-05
10566.jpg	0.0317649923862968			-2.288818359375e-05			-2.288818359375e-05
10567.jpg	0.0317649923862968			-2.288818359375e-05			-2.288818359375e-05
10568.jpg	0.0317649923862968			-2.288818359375e-05			-2.288818359375e-05
10569.jpg	0.029845130209103034			-2.288818359375e-05			-2.288818359375e-05
10570.jpg	0.021118483949131385			-2.288818359375e-05			-2.288818359375e-05
10571.jpg	0.0017453292519943296			-2.288818359375e-05			-2.288818359375e-05
10572.jpg	-0.021118483949131385			-2.288818359375e-05			-2.288818359375e-05
10573.jpg	-0.045727626402251434			-0.03142547607421875			-2.288818359375e-05
10574.jpg	-0.05986479334340551			-0.03142547607421875			-2.288818359375e-05
10575.jpg	-0.0651007810993885			-0.03142547607421875			-2.288818359375e-05
10576.jpg	-0.06859143960337716			-0.06371307373046875			-2.288818359375e-05
10577.jpg	-0.08098327729253689			-0.09476470947265625			-2.288818359375e-05
10578.jpg	-0.10035643198967394			-0.09476470947265625			-2.288818359375e-05
10579.jpg	-0.130201562198777			-0.09476470947265625			-2.288818359375e-05
10580.jpg	-0.18832102629018815			-0.09476470947265625			-2.288818359375e-05
10581.jpg	-0.23753931119642827			-0.09476470947265625			-2.288818359375e-05
10582.jpg	-0.290248254606657			-0.14286041259765625			-2.288818359375e-05
10583.jpg	-0.3274237676741363			-0.14286041259765625			-2.288818359375e-05
10584.jpg	-0.3659955441432109			-0.21457672119140625			-0.07189178466796875
10585.jpg	-0.4082325120414737			-0.28427886962890625			-0.11588287353515625
10586.jpg	-0.43301618741979314			-0.31664276123046875			-0.23921966552734375
10587.jpg	-0.48397980157802756			-0.31664276123046875			-0.23921966552734375
10588.jpg	-0.5279620987282847			-0.31664276123046875			-0.23921966552734375
10589.jpg	-0.5878268920716901			-0.31664276123046875			-0.27002716064453125
10590.jpg	-0.6407103684071184			-0.31664276123046875			-0.27002716064453125
10591.jpg	-0.6846926655573754			-0.38988494873046875			-0.27002716064453125
10592.jpg	-0.7918558816298272			-0.42411041259765625			-0.30438995361328125
10593.jpg	-0.8518952078984322			-0.42411041259765625			-0.30438995361328125
10594.jpg	-0.9485864484589182			-0.42411041259765625			-0.30438995361328125
10595.jpg	-1.0119419003063124			-0.46724700927734375			-0.44676971435546875
10596.jpg	-1.0595893888857575			-0.5782699584960938			-0.44676971435546875
10597.jpg	-1.1281808284891346			-0.5782699584960938			-0.5190811157226562
10598.jpg	-1.179144442647369			-0.6128921508789062			-0.6349105834960938
10599.jpg	-1.2514010736799344			-0.7358169555664062			-0.6349105834960938
10600.jpg	-1.3182471840313172			-0.7358169555664062			-0.6349105834960938
10601.jpg	-1.4027211198278426			-0.7358169555664062			-0.6349105834960938
10602.jpg	-1.4660765716752369			-0.7672195434570312			-0.7139511108398438
10603.jpg	-1.5381586697826024			-0.8033981323242188			-0.7487564086914062
10604.jpg	-1.5751596499248823			-0.8033981323242188			-0.8246536254882812
10605.jpg	-1.620887276327134			-0.8033981323242188			-0.8246536254882812
10606.jpg	-1.7053612121236594			-0.8372116088867188			-0.8246536254882812
10607.jpg	-1.761735346963076			-0.8787460327148438			-0.8559951782226562
