# Train        Test        
    0.324500     0.292569 
    0.312138     0.267381 
    0.293931     0.408225 
    0.272720     0.873606 
    0.245750     0.693231 
    0.232400     0.550768 
    0.207146     1.235927 
    0.197879     0.568658 
    0.197872     0.722190 
    0.187630     0.814927 
    0.171655     0.763220 
    0.152204     0.582904 
    0.157458     0.800026 
    0.151792     0.879637 
    0.146871     0.732157 
    0.139516     0.626880 
    0.145926     0.767848 
    0.152387     0.751814 
    0.146229     0.637021 
    0.136825     0.691759 
    0.129674     0.773821 
    0.137489     0.741648 
    0.135449     0.931488 
    0.125222     0.662934 
    0.122570     0.675639 
    0.128320     0.752301 
    0.124453     0.802061 
    0.115651     0.679956 
    0.127516     0.727023 
    0.124479     0.694222 
    0.112497     0.688864 
    0.117910     0.729183 
    0.115220     0.826600 
    0.116462     0.728936 
    0.115886     0.810812 
    0.111651     0.850968 
    0.106717     0.699347 
    0.109901     0.928195 
    0.112251     0.862382 
    0.120812     0.721393 
    0.110451     0.769890 
    0.121263     0.718674 
    0.111718     0.744455 
    0.109981     0.641474 
    0.124351     0.557786 
    0.106717     0.645921 
    0.111939     0.943865 
    0.108889     0.808216 
    0.115006     0.634900 
    0.114467     0.713703 
