Sliding Window Attack Statistics
======================================================================
Attack: FGSM
Window size: 5
Epsilon: 0.03
Number of windows: 193

Window | Frames      | Target Value | Perturbation Norm
----------------------------------------------------------------------
     0 | [  0,   4] |     0.000000 |          0.000000
     1 | [  1,   5] |     0.000000 |          0.000000
     2 | [  2,   6] |     0.000000 |          0.000000
     3 | [  3,   7] |     0.000000 |          0.000000
     4 | [  4,   8] |     0.000000 |          0.000000
     5 | [  5,   9] |     0.000000 |          0.000000
     6 | [  6,  10] |     0.000000 |          0.000000
     7 | [  7,  11] |     0.000000 |          0.000000
     8 | [  8,  12] |     0.000000 |          0.000000
     9 | [  9,  13] |     0.000000 |          0.000000
    10 | [ 10,  14] |    -0.002365 |          0.000000
    11 | [ 11,  15] |     0.000000 |          0.000000
    12 | [ 12,  16] |     0.000000 |          0.000000
    13 | [ 13,  17] |     0.000000 |          0.000000
    14 | [ 14,  18] |     0.003040 |          0.000000
    15 | [ 15,  19] |     0.000000 |          0.000000
    16 | [ 16,  20] |     0.000000 |          0.000000
    17 | [ 17,  21] |     0.000000 |          0.000000
    18 | [ 18,  22] |     0.000000 |          0.000000
    19 | [ 19,  23] |     0.000000 |          0.000000
    20 | [ 20,  24] |     0.000000 |          0.000000
    21 | [ 21,  25] |    -0.030377 |          0.000000
    22 | [ 22,  26] |    -0.005316 |          0.000000
    23 | [ 23,  27] |    -0.038507 |          0.000000
    24 | [ 24,  28] |    -0.012146 |          0.000000
    25 | [ 25,  29] |     0.016393 |          0.000000
    26 | [ 26,  30] |     0.060005 |          0.000000
    27 | [ 27,  31] |     0.024017 |          0.000000
    28 | [ 28,  32] |     0.022925 |          0.000000
    29 | [ 29,  33] |    -0.061584 |          0.000000
    30 | [ 30,  34] |    -0.014011 |          0.000000
    31 | [ 31,  35] |     0.000000 |          0.000000
    32 | [ 32,  36] |    -0.019740 |          0.000000
    33 | [ 33,  37] |    -0.027841 |          0.000000
    34 | [ 34,  38] |     0.000000 |          0.000000
    35 | [ 35,  39] |    -0.002109 |          0.000000
    36 | [ 36,  40] |     0.010803 |          0.000000
    37 | [ 37,  41] |     0.012466 |          0.000000
    38 | [ 38,  42] |     0.031290 |          0.000000
    39 | [ 39,  43] |     0.017743 |          0.000000
    40 | [ 40,  44] |    -0.127789 |          0.000000
    41 | [ 41,  45] |    -0.120514 |          0.000000
    42 | [ 42,  46] |    -0.200456 |          0.000000
    43 | [ 43,  47] |    -0.080885 |          0.000000
    44 | [ 44,  48] |    -0.036365 |          0.000000
    45 | [ 45,  49] |    -0.116641 |          6.636615
    46 | [ 46,  50] |    -0.121954 |          0.000000
    47 | [ 47,  51] |    -0.097940 |          0.000000
    48 | [ 48,  52] |    -0.068491 |          0.000000
    49 | [ 49,  53] |     0.049677 |          0.000000
    50 | [ 50,  54] |    -0.003008 |          0.000000
    51 | [ 51,  55] |     0.082787 |          0.000000
    52 | [ 52,  56] |    -0.048563 |          0.000000
    53 | [ 53,  57] |     0.005864 |          0.000000
    54 | [ 54,  58] |     0.055362 |          0.000000
    55 | [ 55,  59] |     0.119772 |          0.000000
    56 | [ 56,  60] |     0.075914 |          0.000000
    57 | [ 57,  61] |     0.007468 |          0.000000
    58 | [ 58,  62] |     0.119664 |          0.000000
    59 | [ 59,  63] |     0.217578 |          0.000000
    60 | [ 60,  64] |     0.245117 |          0.000000
    61 | [ 61,  65] |     0.055984 |          0.000000
    62 | [ 62,  66] |     0.072929 |          0.000000
    63 | [ 63,  67] |     0.030243 |          0.000000
    64 | [ 64,  68] |     0.121332 |          0.000000
    65 | [ 65,  69] |     0.289000 |          6.617625
    66 | [ 66,  70] |     0.255685 |          6.616642
    67 | [ 67,  71] |     0.143304 |          6.614481
    68 | [ 68,  72] |     0.334129 |          6.613842
    69 | [ 69,  73] |    -0.311624 |          6.613540
    70 | [ 70,  74] |    -0.435635 |          6.613592
    71 | [ 71,  75] |    -0.588287 |          6.612705
    72 | [ 72,  76] |    -0.583214 |          6.614005
    73 | [ 73,  77] |    -0.687465 |          6.612394
    74 | [ 74,  78] |    -0.747281 |          6.609134
    75 | [ 75,  79] |    -0.773126 |          6.609325
    76 | [ 76,  80] |    -0.669380 |          0.000000
    77 | [ 77,  81] |    -0.570598 |          0.000000
    78 | [ 78,  82] |    -0.574455 |          0.000000
    79 | [ 79,  83] |    -0.433655 |          0.000000
    80 | [ 80,  84] |    -0.141426 |          6.601918
    81 | [ 81,  85] |    -0.262697 |          0.000000
    82 | [ 82,  86] |    -0.041165 |          0.000000
