ImageName		GroundTruth		OriginalOutput		AdversarialOutput
10550.jpg	0.0			-2.288818359375e-05			0.00763702392578125
10551.jpg	0.045727626402251434			-2.288818359375e-05			0.00763702392578125
10552.jpg	0.0439822971502571			-2.288818359375e-05			0.00763702392578125
10553.jpg	0.040491638646268445			-2.288818359375e-05			0.00763702392578125
10554.jpg	0.03700098014227979			-2.288818359375e-05			0.00763702392578125
10555.jpg	0.035255650890285456			-2.288818359375e-05			0.00763702392578125
10556.jpg	0.035255650890285456			-2.288818359375e-05			0.00763702392578125
10557.jpg	0.03700098014227979			-2.288818359375e-05			0.00763702392578125
10558.jpg	0.03874630939427412			-2.288818359375e-05			0.00763702392578125
10559.jpg	0.03874630939427412			-2.288818359375e-05			0.00763702392578125
10560.jpg	0.040491638646268445			-2.288818359375e-05			0.00763702392578125
10561.jpg	0.040491638646268445			-2.288818359375e-05			0.00763702392578125
10562.jpg	0.040491638646268445			-2.288818359375e-05			0.00763702392578125
10563.jpg	0.040491638646268445			-2.288818359375e-05			0.00763702392578125
10564.jpg	0.03700098014227979			-2.288818359375e-05			0.00763702392578125
10565.jpg	0.033510321638291124			-2.288818359375e-05			0.00763702392578125
10566.jpg	0.0317649923862968			-2.288818359375e-05			0.00763702392578125
10567.jpg	0.0317649923862968			-2.288818359375e-05			0.00763702392578125
10568.jpg	0.0317649923862968			-2.288818359375e-05			0.00763702392578125
10569.jpg	0.029845130209103034			-2.288818359375e-05			0.00763702392578125
10570.jpg	0.021118483949131385			-2.288818359375e-05			0.00763702392578125
10571.jpg	0.0017453292519943296			-2.288818359375e-05			0.00763702392578125
10572.jpg	-0.021118483949131385			-2.288818359375e-05			0.00763702392578125
10573.jpg	-0.045727626402251434			-0.03142547607421875			0.00763702392578125
10574.jpg	-0.05986479334340551			-0.03142547607421875			0.00763702392578125
10575.jpg	-0.0651007810993885			-0.03142547607421875			0.00763702392578125
10576.jpg	-0.06859143960337716			-0.06371307373046875			0.00763702392578125
10577.jpg	-0.08098327729253689			-0.09476470947265625			0.00763702392578125
10578.jpg	-0.10035643198967394			-0.09476470947265625			0.00763702392578125
10579.jpg	-0.130201562198777			-0.09476470947265625			0.00763702392578125
10580.jpg	-0.18832102629018815			-0.09476470947265625			0.00763702392578125
10581.jpg	-0.23753931119642827			-0.09476470947265625			-0.07419586181640625
10582.jpg	-0.290248254606657			-0.14286041259765625			-0.13762664794921875
10583.jpg	-0.3274237676741363			-0.14286041259765625			-0.18012237548828125
10584.jpg	-0.3659955441432109			-0.21457672119140625			-0.18012237548828125
10585.jpg	-0.4082325120414737			-0.28427886962890625			-0.24462127685546875
10586.jpg	-0.43301618741979314			-0.31664276123046875			-0.24462127685546875
10587.jpg	-0.48397980157802756			-0.31664276123046875			-0.14446258544921875
10588.jpg	-0.5279620987282847			-0.31664276123046875			-0.14446258544921875
10589.jpg	-0.5878268920716901			-0.31664276123046875			-0.18230438232421875
10590.jpg	-0.6407103684071184			-0.31664276123046875			-0.21595001220703125
10591.jpg	-0.6846926655573754			-0.38988494873046875			-0.21595001220703125
10592.jpg	-0.7918558816298272			-0.42411041259765625			-0.41660308837890625
10593.jpg	-0.8518952078984322			-0.42411041259765625			-0.41660308837890625
10594.jpg	-0.9485864484589182			-0.42411041259765625			-0.41660308837890625
10595.jpg	-1.0119419003063124			-0.46724700927734375			-0.41660308837890625
10596.jpg	-1.0595893888857575			-0.5782699584960938			-0.41660308837890625
10597.jpg	-1.1281808284891346			-0.5782699584960938			-0.5344009399414062
10598.jpg	-1.179144442647369			-0.6128921508789062			-0.5344009399414062
10599.jpg	-1.2514010736799344			-0.7358169555664062			-0.5724411010742188
10600.jpg	-1.3182471840313172			-0.7358169555664062			-0.6036148071289062
10601.jpg	-1.4027211198278426			-0.7358169555664062			-0.6036148071289062
10602.jpg	-1.4660765716752369			-0.7672195434570312			-0.6036148071289062
10603.jpg	-1.5381586697826024			-0.8033981323242188			-0.6379013061523438
10604.jpg	-1.5751596499248823			-0.8033981323242188			-0.6717147827148438
10605.jpg	-1.620887276327134			-0.8033981323242188			-0.7084884643554688
10606.jpg	-1.7053612121236594			-0.8372116088867188			-0.7084884643554688
10607.jpg	-1.761735346963076			-0.8787460327148438			-0.7084884643554688
10608.jpg	-1.8303267865664534			-0.9910659790039062			-0.7449417114257812
10609.jpg	-1.8708184252127218			-0.9910659790039062			-0.8234481811523438
10610.jpg	-1.9167205845401725			-0.9910659790039062			-0.8234481811523438
10611.jpg	-1.9641935401944184			-0.9910659790039062			-0.8234481811523438
10612.jpg	-2.030865117620602			-0.9910659790039062			-0.8915634155273438
10613.jpg	-2.08374859395603			-0.9910659790039062			-0.8915634155273438
10614.jpg	-2.1436133872994354			-0.9910659790039062			-0.8915634155273438
10615.jpg	-2.1964968636348634			-0.9910659790039062			-0.8915634155273438
10616.jpg	-2.240479160785121			-0.9910659790039062			-0.9227828979492188
10617.jpg	-2.2792254701793953			-0.9910659790039062			-0.9964523315429688
10618.jpg	-2.3073252711365035			-1.1474075317382812			-1.1826400756835938
10619.jpg	-2.342580922026789			-1.1883010864257812			-1.1826400756835938
10620.jpg	-2.3900538776810345			-1.1883010864257812			-1.1826400756835938
10621.jpg	-2.4270548578233146			-1.1883010864257812			-1.3384017944335938
10622.jpg	-2.4623105087136			-1.3236618041992188			-1.3384017944335938
10623.jpg	-2.478018471981549			-1.3562545776367188			-1.3702011108398438
10624.jpg	-2.502627614434669			-1.3562545776367188			-1.3702011108398438
10625.jpg	-2.523920631309			-1.4964065551757812			-1.3702011108398438
10626.jpg	-2.5431192530809374			-1.5433425903320312			-1.4462051391601562
10627.jpg	-2.564237737030069			-1.5433425903320312			-1.4838943481445312
10628.jpg	-2.5766295747192283			-1.5802383422851562			-1.5234451293945312
10629.jpg	-2.5853562209792003			-1.5802383422851562			-1.5234451293945312
10630.jpg	-2.592512070912377			-1.6456832885742188			-1.5234451293945312
10631.jpg	-2.6012387171723486			-1.6456832885742188			-1.5234451293945312
10632.jpg	-2.6083945671055253			-1.6456832885742188			-1.5234451293945312
10633.jpg	-2.61013989635752			-1.6456832885742188			-1.5234451293945312
10634.jpg	-2.611885225609514			-1.6456832885742188			-1.5234451293945312
10635.jpg	-2.6136305548615084			-1.6456832885742188			-1.5234451293945312
10636.jpg	-2.6223572011214804			-1.6049118041992188			-1.5234451293945312
10637.jpg	-2.6364943680626345			-1.6049118041992188			-1.5234451293945312
10638.jpg	-2.645221014322606			-1.6049118041992188			-1.5234451293945312
10639.jpg	-2.6469663435746003			-1.6049118041992188			-1.5678787231445312
10640.jpg	-2.6469663435746003			-1.6446914672851562			-1.5678787231445312
10641.jpg	-2.6469663435746003			-1.6141891479492188			-1.5678787231445312
10642.jpg	-2.6506315350037886			-1.5791854858398438			-1.5678787231445312
10643.jpg	-2.6558675227597712			-1.5791854858398438			-1.5296249389648438
10644.jpg	-2.6628488397677486			-1.5791854858398438			-1.5296249389648438
10645.jpg	-2.6680848275237317			-1.5791854858398438			-1.4959487915039062
10646.jpg	-2.6680848275237317			-1.5791854858398438			-1.3772048950195312
10647.jpg	-2.6680848275237317			-1.5791854858398438			-1.3772048950195312
10648.jpg	-2.6680848275237317			-1.5791854858398438			-1.3772048950195312
10649.jpg	-2.6680848275237317			-1.5458145141601562			-1.4112319946289062
10650.jpg	-2.6680848275237317			-1.5458145141601562			-1.4112319946289062
10651.jpg	-2.657612852011766			-1.5458145141601562			-1.4112319946289062
10652.jpg	-2.645221014322606			-1.5458145141601562			-1.4112319946289062
10653.jpg	-2.6206118718694857			-1.4713668823242188			-1.4112319946289062
10654.jpg	-2.6012387171723486			-1.3262557983398438			-1.4112319946289062
10655.jpg	-2.581865562475212			-1.3262557983398438			-1.3264999389648438
10656.jpg	-2.5661575992072625			-1.3262557983398438			-1.3264999389648438
10657.jpg	-2.523920631309			-1.3262557983398438			-1.3264999389648438
10658.jpg	-2.490410309670709			-1.3262557983398438			-1.3264999389648438
10659.jpg	-2.453409329528429			-1.2930831909179688			-1.2898941040039062
10660.jpg	-2.430545516327303			-1.2593002319335938			-1.1321487426757812
10661.jpg	-2.4076817031261775			-1.1634902954101562			-0.9606857299804688
10662.jpg	-2.374171381487886			-1.1634902954101562			-0.9606857299804688
10663.jpg	-2.3266984258336407			-1.0722885131835938			-0.9606857299804688
10664.jpg	-2.3003439541285267			-1.0722885131835938			-0.9142379760742188
10665.jpg	-2.275734811675406			-0.9740676879882812			-0.9142379760742188
10666.jpg	-2.2141246890800064			-0.9740676879882812			-0.9142379760742188
10667.jpg	-2.1525145664846064			-0.9740676879882812			-0.9142379760742188
10668.jpg	-2.0767672769480527			-0.9740676879882812			-0.8443222045898438
10669.jpg	-2.0029398495886928			-0.9384384155273438			-0.8443222045898438
10670.jpg	-1.9184659137921671			-0.9384384155273438			-0.8443222045898438
10671.jpg	-1.8673277667087331			-0.9384384155273438			-0.8111801147460938
10672.jpg	-1.784599160164202			-0.9384384155273438			-0.8419418334960938
10673.jpg	-1.7388715337619502			-0.9384384155273438			-0.8756332397460938
10674.jpg	-1.7142623913088304			-1.0103836059570312			-0.9178085327148438
10675.jpg	-1.6948892366116934			-1.0103836059570312			-0.9178085327148438
10676.jpg	-1.6702800941585736			-0.9753036499023438			-0.9178085327148438
10677.jpg	-1.6526522687134306			-0.9359817504882812			-0.8786239624023438
10678.jpg	-1.6402604310242708			-0.9359817504882812			-0.8786239624023438
10679.jpg	-1.6280431262603108			-0.9359817504882812			-0.9097671508789062
10680.jpg	-1.6121606300671623			-0.9359817504882812			-0.9097671508789062
10681.jpg	-1.5892968168660366			-0.9359817504882812			-0.9097671508789062
10682.jpg	-1.5575318244797396			-0.9359817504882812			-0.9097671508789062
10683.jpg	-1.5329226820266197			-0.9359817504882812			-0.8711471557617188
10684.jpg	-1.480213738616391			-0.9359817504882812			-0.8711471557617188
10685.jpg	-1.4519394047340828			-0.9359817504882812			-0.8711471557617188
10686.jpg	-1.4027211198278426			-0.9359817504882812			-0.8711471557617188
10687.jpg	-1.3587388226775854			-0.8109359741210938			-0.8711471557617188
10688.jpg	-1.3023646878381687			-0.8109359741210938			-0.8407058715820312
10689.jpg	-1.254891732183923			-0.8109359741210938			-0.8407058715820312
10690.jpg	-1.2091641057816713			-0.8109359741210938			-0.7747879028320312
10691.jpg	-1.1580259586982375			-0.8109359741210938			-0.7747879028320312
10692.jpg	-1.1316714869931235			-0.7795486450195312			-0.7747879028320312
10693.jpg	-1.1000810275320259			-0.7795486450195312			-0.7403640747070312
10694.jpg	-1.0578440596337633			-0.6421890258789062			-0.5455245971679688
10695.jpg	-1.00338978697154			-0.6421890258789062			-0.5455245971679688
10696.jpg	-0.9855874286011979			-0.6088790893554688			-0.5455245971679688
