Sliding Window Attack Statistics
======================================================================
Attack: MIFGSM
Window size: 5
Epsilon: 0.03
Number of windows: 193

Window | Frames      | Target Value | Perturbation Norm
----------------------------------------------------------------------
     0 | [  0,   4] |     0.000000 |          0.000000
     1 | [  1,   5] |    -0.027269 |          0.000000
     2 | [  2,   6] |     0.000000 |          0.000000
     3 | [  3,   7] |     0.000000 |          0.000000
     4 | [  4,   8] |     0.066106 |          0.000000
     5 | [  5,   9] |     0.000000 |          0.000000
     6 | [  6,  10] |     0.000000 |          0.000000
     7 | [  7,  11] |     0.000000 |          0.000000
     8 | [  8,  12] |     0.000000 |          0.000000
     9 | [  9,  13] |     0.000000 |          0.000000
    10 | [ 10,  14] |    -0.006335 |          0.000000
    11 | [ 11,  15] |     0.000000 |          0.000000
    12 | [ 12,  16] |     0.000000 |          0.000000
    13 | [ 13,  17] |     0.000000 |          0.000000
    14 | [ 14,  18] |    -0.006363 |          0.000000
    15 | [ 15,  19] |     0.000000 |          0.000000
    16 | [ 16,  20] |     0.000000 |          0.000000
    17 | [ 17,  21] |     0.000000 |          0.000000
    18 | [ 18,  22] |     0.000000 |          0.000000
    19 | [ 19,  23] |     0.000000 |          0.000000
    20 | [ 20,  24] |     0.000000 |          0.000000
    21 | [ 21,  25] |     0.000000 |          0.000000
    22 | [ 22,  26] |     0.000000 |          0.000000
    23 | [ 23,  27] |     0.000000 |          0.000000
    24 | [ 24,  28] |     0.000000 |          0.000000
    25 | [ 25,  29] |     0.000000 |          0.000000
    26 | [ 26,  30] |     0.000000 |          0.000000
    27 | [ 27,  31] |     0.000000 |          0.000000
    28 | [ 28,  32] |     0.000000 |          0.000000
    29 | [ 29,  33] |     0.000000 |          0.000000
    30 | [ 30,  34] |     0.000000 |          0.000000
    31 | [ 31,  35] |     0.000000 |          0.000000
    32 | [ 32,  36] |     0.000000 |          0.000000
    33 | [ 33,  37] |     0.000000 |          0.000000
    34 | [ 34,  38] |     0.008920 |          0.000000
    35 | [ 35,  39] |     0.000000 |          0.000000
    36 | [ 36,  40] |    -0.002197 |          0.000000
    37 | [ 37,  41] |     0.000000 |          0.000000
    38 | [ 38,  42] |     0.000000 |          0.000000
    39 | [ 39,  43] |    -0.001993 |          0.000000
    40 | [ 40,  44] |    -0.055554 |          0.000000
    41 | [ 41,  45] |    -0.005273 |          0.000000
    42 | [ 42,  46] |     0.000000 |          0.000000
    43 | [ 43,  47] |     0.000000 |          0.000000
    44 | [ 44,  48] |     0.000000 |          0.000000
    45 | [ 45,  49] |     0.000000 |          0.000000
    46 | [ 46,  50] |     0.000000 |          0.000000
    47 | [ 47,  51] |     0.000000 |          0.000000
    48 | [ 48,  52] |     0.000000 |          0.000000
    49 | [ 49,  53] |     0.003589 |          0.000000
    50 | [ 50,  54] |     0.000000 |          0.000000
    51 | [ 51,  55] |    -0.006989 |          0.000000
    52 | [ 52,  56] |     0.000000 |          0.000000
    53 | [ 53,  57] |     0.003268 |          0.000000
    54 | [ 54,  58] |     0.000000 |          0.000000
    55 | [ 55,  59] |     0.000000 |          0.000000
    56 | [ 56,  60] |     0.000000 |          0.000000
    57 | [ 57,  61] |     0.000000 |          0.000000
    58 | [ 58,  62] |    -0.031769 |          0.000000
    59 | [ 59,  63] |     0.000000 |          0.000000
    60 | [ 60,  64] |     0.000000 |          0.000000
    61 | [ 61,  65] |     0.000000 |          0.000000
    62 | [ 62,  66] |     0.000000 |          0.000000
    63 | [ 63,  67] |     0.008690 |          0.000000
    64 | [ 64,  68] |     0.034294 |          5.336386
    65 | [ 65,  69] |     0.297343 |          6.128011
    66 | [ 66,  70] |     0.446507 |          5.950651
    67 | [ 67,  71] |     0.697891 |          5.906460
    68 | [ 68,  72] |     0.582890 |          5.893594
    69 | [ 69,  73] |     0.233209 |          5.898234
    70 | [ 70,  74] |     0.452545 |          6.006908
    71 | [ 71,  75] |     0.589507 |          5.925807
    72 | [ 72,  76] |     0.916245 |          5.882657
    73 | [ 73,  77] |     0.000000 |          5.890319
    74 | [ 74,  78] |     0.063100 |          5.869754
    75 | [ 75,  79] |     0.360881 |          6.131452
    76 | [ 76,  80] |    -0.063782 |          0.000000
    77 | [ 77,  81] |     0.000000 |          0.000000
    78 | [ 78,  82] |     0.000000 |          0.000000
    79 | [ 79,  83] |     0.000000 |          0.000000
    80 | [ 80,  84] |     0.037218 |          5.255426
    81 | [ 81,  85] |    -0.062019 |          0.000000
    82 | [ 82,  86] |     0.000000 |          0.000000
    83 | [ 83,  87] |     0.000000 |          0.000000
