Iteration,Frame,WindowSize,Image,CleanSA,PerturbedSA,AbsDiff,PercentDiff
1,0,1,10550.jpg,0.000000,0.000000,0.000000,0.00
2,1,2,10551.jpg,0.000000,0.000000,0.000000,0.00
3,2,3,10552.jpg,0.000000,0.000000,0.000000,0.00
4,3,4,10553.jpg,0.000000,0.000000,0.000000,0.00
5,4,5,10554.jpg,0.000000,0.000000,0.000000,0.00
6,5,6,10555.jpg,0.000000,0.000000,0.000000,0.00
7,6,7,10556.jpg,0.000000,0.000000,0.000000,0.00
8,7,8,10557.jpg,0.000000,0.000000,0.000000,0.00
9,8,9,10558.jpg,0.000000,0.000000,0.000000,0.00
10,9,10,10559.jpg,0.000000,0.000000,0.000000,0.00
11,10,11,10560.jpg,0.000000,0.000000,0.000000,0.00
12,11,12,10561.jpg,0.000000,0.000000,0.000000,0.00
13,12,13,10562.jpg,0.000000,0.000000,0.000000,0.00
14,13,14,10563.jpg,0.000000,0.000000,0.000000,0.00
15,14,15,10564.jpg,0.001373,0.000000,-0.001373,-100.00
16,15,16,10565.jpg,0.000000,0.000000,0.000000,0.00
17,16,17,10566.jpg,0.000000,-0.000038,-0.000038,0.00
18,17,18,10567.jpg,-0.000038,0.000000,0.000038,-100.00
19,18,19,10568.jpg,-0.000029,0.000000,0.000029,-100.00
20,19,20,10569.jpg,-0.033159,0.000000,0.033159,-100.00
21,20,21,10570.jpg,0.000000,-0.011578,-0.011578,0.00
22,21,22,10571.jpg,0.000000,0.005541,0.005541,0.00
23,22,23,10572.jpg,0.000000,-0.053711,-0.053711,0.00
24,23,24,10573.jpg,-0.000038,0.007353,0.007391,-19375.00
25,24,25,10574.jpg,0.001888,-0.048018,-0.049906,-2642.93
26,25,26,10575.jpg,-0.057640,-0.035248,0.022392,-38.85
27,26,27,10576.jpg,-0.068655,0.009270,0.077925,-113.50
28,27,28,10577.jpg,-0.118494,-0.000029,0.118465,-99.98
29,28,29,10578.jpg,-0.064449,0.003099,0.067549,-104.81
30,29,30,10579.jpg,-0.045185,0.004473,0.049658,-109.90
31,30,31,10580.jpg,-0.130711,-0.119171,0.011539,-8.83
32,31,32,10581.jpg,-0.053673,-0.147610,-0.093937,175.02
33,32,33,10582.jpg,-0.157804,-0.173283,-0.015478,9.81
34,33,34,10583.jpg,-0.431108,-0.139685,0.291424,-67.60
35,34,35,10584.jpg,-0.187607,-0.236683,-0.049076,26.16
36,35,36,10585.jpg,-0.192280,-0.263300,-0.071020,36.94
37,36,37,10586.jpg,-0.227652,-0.205555,0.022097,-9.71
38,37,38,10587.jpg,-0.199957,-0.141134,0.058823,-29.42
39,38,39,10588.jpg,-0.199270,-0.149975,0.049295,-24.74
40,39,40,10589.jpg,-0.097828,-0.312872,-0.215044,219.82
41,40,41,10590.jpg,-0.233631,-0.062923,0.170708,-73.07
42,41,42,10591.jpg,-0.240164,-0.279646,-0.039482,16.44
43,42,43,10592.jpg,-0.458651,-0.178280,0.280371,-61.13
44,43,44,10593.jpg,-0.333567,-0.190582,0.142984,-42.87
45,44,45,10594.jpg,-0.167284,-0.415630,-0.248346,148.46
46,45,46,10595.jpg,-0.497580,-0.343370,0.154209,-30.99
47,46,47,10596.jpg,-0.226774,-0.136099,0.090675,-39.98
48,47,48,10597.jpg,-0.202274,-0.214634,-0.012360,6.11
49,48,49,10598.jpg,-0.409241,-0.234070,0.175171,-42.80
50,49,50,10599.jpg,-0.011997,-0.256805,-0.244808,2040.54
51,50,51,10600.jpg,-0.101566,-0.075827,0.025740,-25.34
52,51,52,10601.jpg,-0.151196,-0.116968,0.034227,-22.64
53,52,53,10602.jpg,-0.213680,-0.438366,-0.224686,105.15
54,53,54,10603.jpg,0.070972,0.086298,0.015326,21.59
55,54,55,10604.jpg,-0.439997,-0.225277,0.214720,-48.80
56,55,56,10605.jpg,-0.458860,-0.432377,0.026484,-5.77
57,56,57,10606.jpg,0.026875,-0.175600,-0.202475,-753.41
58,57,58,10607.jpg,-0.258102,-0.065861,0.192242,-74.48
59,58,59,10608.jpg,-0.193663,-0.467510,-0.273848,141.40
60,59,60,10609.jpg,-0.197582,-0.219545,-0.021963,11.12
61,60,61,10610.jpg,-0.273571,-0.017262,0.256310,-93.69
62,61,62,10611.jpg,-0.074615,0.239887,0.314503,-421.50
63,62,63,10612.jpg,-0.082302,-0.032520,0.049782,-60.49
64,63,64,10613.jpg,-0.210972,0.132837,0.343809,-162.96
65,64,65,10614.jpg,-0.124874,0.094204,0.219078,-175.44
66,65,66,10615.jpg,0.184069,0.304718,0.120649,65.55
67,66,67,10616.jpg,-0.047331,0.093546,0.140877,-297.64
68,67,68,10617.jpg,-0.183392,0.441294,0.624685,-340.63
69,68,69,10618.jpg,-0.284615,0.038986,0.323601,-113.70
70,69,70,10619.jpg,0.024757,-0.011253,-0.036011,-145.45
71,70,71,10620.jpg,-0.210466,0.068016,0.278482,-132.32
72,71,72,10621.jpg,0.056906,0.017071,-0.039835,-70.00
73,72,73,10622.jpg,-0.143719,0.052509,0.196228,-136.54
74,73,74,10623.jpg,-0.604372,-0.276375,0.327997,-54.27
75,74,75,10624.jpg,-0.614176,-0.121260,0.492916,-80.26
76,75,76,10625.jpg,-0.492201,-0.876789,-0.384588,78.14
77,76,77,10626.jpg,-0.679007,-0.572157,0.106850,-15.74
78,77,78,10627.jpg,0.023537,-0.902557,-0.926094,-3934.68
79,78,79,10628.jpg,-1.064587,-0.599079,0.465508,-43.73
80,79,80,10629.jpg,-0.918207,-1.253605,-0.335398,36.53
81,80,81,10630.jpg,-0.756836,-0.265093,0.491743,-64.97
82,81,82,10631.jpg,-0.904408,-0.725994,0.178413,-19.73
83,82,83,10632.jpg,-0.456629,-0.817137,-0.360508,78.95
84,83,84,10633.jpg,-0.879202,-1.090059,-0.210857,23.98
85,84,85,10634.jpg,-0.601959,-0.644426,-0.042467,7.05
86,85,86,10635.jpg,-0.404739,-0.664988,-0.260248,64.30
87,86,87,10636.jpg,-1.077328,-0.333252,0.744076,-69.07
88,87,88,10637.jpg,-1.143713,-0.752964,0.390749,-34.16
89,88,89,10638.jpg,-0.652313,-0.695496,-0.043182,6.62
90,89,90,10639.jpg,-0.825968,-0.545063,0.280905,-34.01
91,90,91,10640.jpg,-0.853624,-0.263710,0.589914,-69.11
92,91,92,10641.jpg,-0.588236,-0.612240,-0.024004,4.08
93,92,93,10642.jpg,-0.153036,-0.230236,-0.077200,50.45
94,93,94,10643.jpg,-0.627537,-0.392723,0.234814,-37.42
95,94,95,10644.jpg,-0.561771,-0.518665,0.043106,-7.67
96,95,96,10645.jpg,-0.287170,-0.258541,0.028629,-9.97
97,96,97,10646.jpg,-0.232811,-0.288105,-0.055294,23.75
98,97,98,10647.jpg,-0.222540,-0.152655,0.069885,-31.40
99,98,99,10648.jpg,-0.420103,-0.484724,-0.064621,15.38
100,99,100,10649.jpg,-0.543804,-0.307741,0.236063,-43.41
101,100,101,10650.jpg,-0.378685,-0.389347,-0.010662,2.82
102,101,102,10651.jpg,-0.335131,-0.257549,0.077581,-23.15
103,102,103,10652.jpg,-0.313320,-0.433321,-0.120001,38.30
104,103,104,10653.jpg,-0.580397,-0.368271,0.212126,-36.55
105,104,105,10654.jpg,-0.408821,-0.433130,-0.024309,5.95
106,105,106,10655.jpg,-0.514326,-0.581932,-0.067606,13.14
107,106,107,10656.jpg,-0.653095,-1.133080,-0.479984,73.49
108,107,108,10657.jpg,-0.663528,-0.702820,-0.039291,5.92
109,108,109,10658.jpg,-0.736179,-0.323143,0.413036,-56.11
110,109,110,10659.jpg,-1.067133,-0.668173,0.398960,-37.39
111,110,111,10660.jpg,-0.265522,-0.888329,-0.622807,234.56
112,111,112,10661.jpg,-0.794554,-0.267420,0.527134,-66.34
113,112,113,10662.jpg,-0.425415,-0.160799,0.264616,-62.20
114,113,114,10663.jpg,-0.705147,-0.333281,0.371866,-52.74
115,114,115,10664.jpg,-0.468235,-0.070848,0.397387,-84.87
116,115,116,10665.jpg,-0.064459,-0.143709,-0.079250,122.95
117,116,117,10666.jpg,-0.061836,-0.043354,0.018482,-29.89
118,117,118,10667.jpg,-0.226583,-0.361290,-0.134706,59.45
119,118,119,10668.jpg,-0.003777,-0.517445,-0.513668,13601.52
120,119,120,10669.jpg,-0.286942,-0.345821,-0.058880,20.52
121,120,121,10670.jpg,-0.189791,-0.161486,0.028305,-14.91
122,121,122,10671.jpg,-0.253620,-0.222759,0.030861,-12.17
123,122,123,10672.jpg,-0.156651,-0.127182,0.029469,-18.81
124,123,124,10673.jpg,-0.298252,-0.118704,0.179548,-60.20
125,124,125,10674.jpg,-0.335340,-0.207119,0.128222,-38.24
126,125,126,10675.jpg,-0.095491,-0.320129,-0.224638,235.24
127,126,127,10676.jpg,-0.247936,-0.337315,-0.089378,36.05
128,127,128,10677.jpg,-0.278358,-0.103903,0.174456,-62.67
129,128,129,10678.jpg,-0.398598,-0.206528,0.192070,-48.19
130,129,130,10679.jpg,-0.136805,-0.321083,-0.184278,134.70
131,130,131,10680.jpg,-0.121269,-0.096350,0.024920,-20.55
132,131,132,10681.jpg,-0.001965,-0.117235,-0.115271,5867.48
133,132,133,10682.jpg,-0.244379,-0.222425,0.021954,-8.98
134,133,134,10683.jpg,-0.021439,-0.002184,0.019255,-89.81
135,134,135,10684.jpg,-0.172758,-0.105457,0.067301,-38.96
